id;x;y;gray;density
215;30.452553;239.817952;0;1.00000000
216;125.828926;572.532425;0;1.00000000
217;65.982637;546.546315;0;1.00000000
218;389.158299;724.244334;0;1.00000000
219;344.587070;1017.926091;0;1.00000000
220;622.461396;450.045659;0;1.00000000
221;544.972734;320.226202;0;1.00000000
222;543.810439;563.768955;0;1.00000000
223;231.653830;200.787790;0;1.00000000
224;192.176840;480.087254;4;0.96124447
225;419.229441;139.229145;0;1.00000000
226;660.849090;737.439831;0;1.00000000
227;608.752989;275.654212;0;1.00000000
228;267.947768;745.951916;0;1.00000000
229;150.862146;27.566340;0;1.00000000
230;298.405854;528.938596;0;1.00000000
231;3.144055;242.019166;0;1.00000000
232;561.496975;1079.117622;0;1.00000000
233;451.916348;802.658708;0;1.00000000
234;607.624252;178.838420;0;1.00000000
235;199.619218;856.310053;0;1.00000000
236;128.770519;837.110195;0;1.00000000
237;605.502429;8.529376;0;1.00000000
238;431.144949;757.480926;0;1.00000000
239;473.155956;373.335491;0;1.00000000
240;322.211829;176.040477;0;1.00000000
241;538.131865;887.125060;2;0.98050735
242;143.137121;116.921234;0;1.00000000
243;79.126258;1102.720779;0;1.00000000
244;8.846961;673.774141;0;1.00000000
245;667.869439;767.643864;0;1.00000000
246;504.563924;603.556441;0;1.00000000
247;90.924790;821.062013;0;1.00000000
248;124.713269;821.517445;0;1.00000000
249;380.372424;43.970675;0;1.00000000
250;456.558976;455.912068;0;1.00000000
251;605.073507;473.197652;0;1.00000000
252;658.021685;1043.976511;0;1.00000000
253;150.281850;337.364009;0;1.00000000
254;467.938013;378.630560;0;1.00000000
255;56.282176;114.229855;0;1.00000000
